#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            Coulomb             BlockWeight         BlockCPU            AcceptRatio         
        59   -3.9297870202e+01    2.4488254970e+03   -7.5634443337e+01    3.6336573135e+01    1.2156112303e+01   -8.7790555640e+01    1.2800000000e+04    2.8354079570e-02    8.3226562500e-01
        60   -3.7446792030e+01    1.5158026150e+03   -7.2747703777e+01    3.5300911747e+01    1.2026486217e+01   -8.4774189994e+01    1.2800000000e+04    2.8308416519e-02    8.2971354167e-01
        61   -3.7269043795e+01    1.4317697370e+03   -7.0229765677e+01    3.2960721883e+01    1.2035752958e+01   -8.2265518636e+01    1.2800000000e+04    2.8349290093e-02    8.3371093750e-01
        62   -3.7328523894e+01    1.4185956584e+03   -7.2335093847e+01    3.5006569953e+01    1.2022885550e+01   -8.4357979397e+01    1.2800000000e+04    2.8300139976e-02    8.3015625000e-01
        63   -3.9032209242e+01    2.7637612748e+03   -7.3805203320e+01    3.4772994077e+01    1.2065629803e+01   -8.5870833123e+01    1.2800000000e+04    2.8339840347e-02    8.3259114583e-01
        64   -3.7606932120e+01    1.4698191564e+03   -7.3287160371e+01    3.5680228252e+01    1.2041752012e+01   -8.5328912383e+01    1.2800000000e+04    2.8289347456e-02    8.2820312500e-01
        65   -3.7618740852e+01    1.4514172689e+03   -7.3267889289e+01    3.5649148437e+01    1.2149956473e+01   -8.5417845762e+01    1.2800000000e+04    2.8312093398e-02    8.3192708333e-01
        66   -3.7309301628e+01    1.4119423293e+03   -7.0316697633e+01    3.3007396005e+01    1.2022973576e+01   -8.2339671208e+01    1.2800000000e+04    2.8259240601e-02    8.3213541667e-01
        67   -3.7094039911e+01    1.4025160406e+03   -7.1486268429e+01    3.4392228518e+01    1.1838438220e+01   -8.3324706649e+01    1.2800000000e+04    2.8269305879e-02    8.3449218750e-01
        68   -3.7630199630e+01    1.5339530345e+03   -7.1913668687e+01    3.4283469057e+01    1.1982304731e+01   -8.3895973418e+01    1.2800000000e+04    2.8232978359e-02    8.3171875000e-01
        69   -3.8990056819e+01    2.7508142276e+03   -7.2890984736e+01    3.3900927917e+01    1.2012160081e+01   -8.4903144818e+01    1.2800000000e+04    2.8286911470e-02    8.3305989583e-01
        70   -3.9367716512e+01    2.5905706088e+03   -7.6162476347e+01    3.6794759836e+01    1.2191589744e+01   -8.8354066092e+01    1.2800000000e+04    2.8204743374e-02    8.3002604167e-01
        71   -3.7079070082e+01    1.4018524141e+03   -7.3212515635e+01    3.6133445553e+01    1.2067895176e+01   -8.5280410811e+01    1.2800000000e+04    2.8266413936e-02    8.3134114583e-01
        72   -3.7249700293e+01    1.4086151625e+03   -7.1795081999e+01    3.4545381706e+01    1.2003572202e+01   -8.3798654200e+01    1.2800000000e+04    2.8303571528e-02    8.3289062500e-01
        73   -3.7398828437e+01    1.4192436448e+03   -7.2347670101e+01    3.4948841664e+01    1.2234951638e+01   -8.4582621739e+01    1.2800000000e+04    2.8304173374e-02    8.3466145833e-01
        74   -3.7831186692e+01    1.4945733024e+03   -7.3122095133e+01    3.5290908441e+01    1.2123858098e+01   -8.5245953231e+01    1.2800000000e+04    2.8260384878e-02    8.3250000000e-01
        75   -3.7241037995e+01    1.4078520301e+03   -7.3751286152e+01    3.6510248157e+01    1.2143231140e+01   -8.5894517292e+01    1.2800000000e+04    2.8278476284e-02    8.3264322917e-01
        76   -3.7536690958e+01    1.4993810064e+03   -7.4147493333e+01    3.6610802375e+01    1.2046832457e+01   -8.6194325790e+01    1.2800000000e+04    2.8268885610e-02    8.3170572917e-01
        77   -3.7655736084e+01    1.4644408163e+03   -7.4755940974e+01    3.7100204889e+01    1.2273979064e+01   -8.7029920038e+01    1.2800000000e+04    2.8221511895e-02    8.2996093750e-01
        78   -3.7934633704e+01    1.7423613087e+03   -7.4299487901e+01    3.6364854197e+01    1.2161583137e+01   -8.6461071037e+01    1.2800000000e+04    2.8252935820e-02    8.3208333333e-01
        79   -3.7319804579e+01    1.4192172111e+03   -7.3134980487e+01    3.5815175908e+01    1.2130235003e+01   -8.5265215490e+01    1.2800000000e+04    2.8236489023e-02    8.3020833333e-01
        80   -3.7381956548e+01    1.4262401088e+03   -7.0980078151e+01    3.3598121602e+01    1.2047598622e+01   -8.3027676773e+01    1.2800000000e+04    2.8305719229e-02    8.3398437500e-01
        81   -3.7596446336e+01    1.4545061756e+03   -6.9588417892e+01    3.1991971556e+01    1.1930701126e+01   -8.1519119017e+01    1.2800000000e+04    2.8285529346e-02    8.3425781250e-01
        82   -3.7267444976e+01    1.4131838792e+03   -7.3123887529e+01    3.5856442554e+01    1.1976514440e+01   -8.5100401969e+01    1.2800000000e+04    2.8230013184e-02    8.3010416667e-01
        83   -3.7625271818e+01    1.4524844171e+03   -7.4201734574e+01    3.6576462756e+01    1.2115412065e+01   -8.6317146639e+01    1.2800000000e+04    2.8240742007e-02    8.3221354167e-01
        84   -3.7278393270e+01    1.4114216959e+03   -7.1729489138e+01    3.4451095868e+01    1.2082334862e+01   -8.3811824000e+01    1.2800000000e+04    2.8263568818e-02    8.3320312500e-01
        85   -3.8048179570e+01    2.1198777635e+03   -7.1819481169e+01    3.3771301599e+01    1.2051703140e+01   -8.3871184308e+01    1.2800000000e+04    2.8277414844e-02    8.3295572917e-01
        86   -3.7186754157e+01    1.4138797547e+03   -7.1688016662e+01    3.4501262505e+01    1.2210177044e+01   -8.3898193706e+01    1.2800000000e+04    2.8252737183e-02    8.3251302083e-01
        87   -3.8056911379e+01    1.5642388112e+03   -7.4389795447e+01    3.6332884068e+01    1.2094328977e+01   -8.6484124425e+01    1.2800000000e+04    2.8277942554e-02    8.3286458333e-01
        88   -3.7622425671e+01    1.4663597856e+03   -7.2029599791e+01    3.4407174120e+01    1.1939855185e+01   -8.3969454976e+01    1.2800000000e+04    2.8297309082e-02    8.3485677083e-01
        89   -3.7820572427e+01    1.4721736478e+03   -7.1626554462e+01    3.3805982035e+01    1.2067055571e+01   -8.3693610033e+01    1.2800000000e+04    2.8255548145e-02    8.3188802083e-01
        90   -3.8190544649e+01    1.6491657748e+03   -7.4213333993e+01    3.6022789345e+01    1.2039171442e+01   -8.6252505435e+01    1.2800000000e+04    2.8233013638e-02    8.3062500000e-01
        91   -3.7450948114e+01    1.4391733049e+03   -7.0821673132e+01    3.3370725018e+01    1.1924751671e+01   -8.2746424803e+01    1.2800000000e+04    2.8250569106e-02    8.3212239583e-01
